Getafe,Ath Madrid,1-1
Malaga,Sevilla,1-0
Albacete,Santander,0-0
Ath Bilbao,Espanol,1-1
Barcelona,Sociedad,1-0
Betis,Mallorca,2-0
La Coruna,Numancia,1-1
Levante,Villarreal,2-4
Osasuna,Valencia,0-0
Real Madrid,Zaragoza,3-1
Ath Bilbao,Osasuna,4-3
Barcelona,Santander,3-0
Albacete,Sevilla,0-2
Betis,Numancia,4-0
Getafe,Zaragoza,3-0
La Coruna,Espanol,4-1
Levante,Sociedad,2-1
Malaga,Ath Madrid,1-0
Real Madrid,Mallorca,3-1
Villarreal,Valencia,3-1
Ath Madrid,Albacete,3-1
Sevilla,Barcelona,0-4
Espanol,Betis,2-2
Mallorca,Getafe,3-1
Numancia,Real Madrid,1-2
Osasuna,La Coruna,1-1
Santander,Levante,2-2
Sociedad,Villarreal,0-4
Valencia,Ath Bilbao,2-2
Zaragoza,Malaga,1-0
Real Madrid,Espanol,4-0
Sociedad,Valencia,3-3
Albacete,Zaragoza,2-1
Barcelona,Ath Madrid,0-2
Betis,Osasuna,3-1
Getafe,Numancia,1-0
La Coruna,Ath Bilbao,1-1
Levante,Sevilla,0-3
Malaga,Mallorca,0-0
Villarreal,Santander,2-1
Valencia,La Coruna,1-2
Zaragoza,Barcelona,1-4
Ath Bilbao,Betis,4-4
Ath Madrid,Levante,0-0
Espanol,Getafe,2-0
Mallorca,Albacete,2-1
Numancia,Malaga,0-1
Osasuna,Real Madrid,1-2
Santander,Sociedad,1-3
Sevilla,Villarreal,2-1
Barcelona,Mallorca,2-0
Real Madrid,Ath Bilbao,0-2
Sociedad,Sevilla,1-0
Albacete,Numancia,1-2
Betis,La Coruna,2-0
Getafe,Osasuna,0-0
Levante,Zaragoza,0-0
Malaga,Espanol,3-2
Santander,Valencia,1-0
Villarreal,Ath Madrid,3-2
Espanol,Albacete,2-1
La Coruna,Real Madrid,2-0
Mallorca,Levante,1-2
Numancia,Barcelona,1-1
Ath Madrid,Sociedad,1-0
Osasuna,Malaga,1-6
Sevilla,Santander,2-2
Valencia,Betis,2-1
Zaragoza,Villarreal,1-0
Barcelona,Espanol,0-0
Albacete,Osasuna,1-1
Getafe,La Coruna,1-1
Levante,Numancia,1-1
Malaga,Ath Bilbao,1-0
Real Madrid,Betis,3-1
Santander,Ath Madrid,2-1
Sevilla,Valencia,2-2
Sociedad,Zaragoza,2-1
Villarreal,Mallorca,2-1
Ath Madrid,Sevilla,3-0
Osasuna,Barcelona,0-1
Valencia,Real Madrid,1-1
Ath Bilbao,Albacete,3-1
Betis,Getafe,2-2
Espanol,Levante,2-1
La Coruna,Malaga,1-0
Mallorca,Sociedad,3-2
Numancia,Villarreal,1-1
Zaragoza,Santander,1-0
Barcelona,Ath Bilbao,2-0
Malaga,Betis,1-2
Albacete,La Coruna,0-1
Ath Madrid,Valencia,1-0
Getafe,Real Madrid,2-1
Levante,Osasuna,4-0
Santander,Mallorca,3-0
Sevilla,Zaragoza,0-1
Sociedad,Numancia,2-1
Villarreal,Espanol,4-1
Ath Bilbao,Getafe,1-2
Betis,Albacete,2-1
Espanol,Sociedad,2-2
La Coruna,Barcelona,0-1
Ath Bilbao,Levante,3-1
Mallorca,Sevilla,0-1
Numancia,Santander,2-3
Real Madrid,Malaga,1-0
Valencia,Getafe,3-1
Zaragoza,Ath Madrid,0-0
Sociedad,Osasuna,2-0
Villarreal,Ath Bilbao,3-1
Zaragoza,Valencia,2-2
Albacete,Real Madrid,1-2
Ath Madrid,Mallorca,4-0
Barcelona,Betis,3-3
Levante,La Coruna,0-1
Malaga,Getafe,1-1
Santander,Espanol,1-3
Sevilla,Numancia,1-0
Ath Bilbao,Sociedad,3-0
Numancia,Ath Madrid,1-0
Betis,Levante,2-2
Espanol,Sevilla,1-3
Getafe,Albacete,1-0
La Coruna,Villarreal,1-1
Mallorca,Zaragoza,0-2
Osasuna,Santander,1-0
Real Madrid,Barcelona,4-2
Valencia,Malaga,2-2
Ath Madrid,Espanol,0-0
Sevilla,Osasuna,0-1
Sociedad,La Coruna,1-0
Albacete,Malaga,1-2
Barcelona,Getafe,2-0
Levante,Real Madrid,0-2
Mallorca,Valencia,0-0
Santander,Ath Bilbao,0-2
Villarreal,Betis,0-0
Zaragoza,Numancia,4-1
Osasuna,Ath Madrid,1-0
Real Madrid,Villarreal,2-1
Ath Bilbao,Sevilla,1-3
Betis,Sociedad,2-3
Espanol,Zaragoza,3-1
Getafe,Levante,1-0
La Coruna,Santander,1-4
Malaga,Barcelona,0-4
Numancia,Mallorca,1-2
Valencia,Albacete,2-0
Osasuna,Villarreal,3-2
Ath Madrid,Ath Bilbao,1-1
Numancia,Valencia,1-1
Sociedad,Real Madrid,0-2
Barcelona,Albacete,2-0
Levante,Malaga,0-1
Mallorca,Espanol,3-2
Santander,Betis,1-1
Sevilla,La Coruna,2-0
Villarreal,Getafe,4-0
Zaragoza,Osasuna,5-1
Ath Bilbao,Zaragoza,2-0
Betis,Sevilla,1-0
Osasuna,Mallorca,1-1
Real Madrid,Santander,5-0
Albacete,Levante,3-1
Espanol,Numancia,3-0
Getafe,Sociedad,2-0
La Coruna,Ath Madrid,2-0
Malaga,Villarreal,0-2
Valencia,Barcelona,0-2
Levante,Barcelona,1-1
Sevilla,Real Madrid,2-2
Ath Madrid,Betis,1-2
Espanol,Valencia,2-2
Mallorca,Ath Bilbao,4-3
Numancia,Osasuna,2-2
Santander,Getafe,2-1
Sociedad,Malaga,1-3
Villarreal,Albacete,1-0
Zaragoza,La Coruna,2-2
Betis,Zaragoza,3-2
Real Madrid,Ath Madrid,0-0
Albacete,Sociedad,2-2
Ath Bilbao,Numancia,0-2
Barcelona,Villarreal,3-3
Getafe,Sevilla,0-0
La Coruna,Mallorca,0-3
Levante,Valencia,0-0
Malaga,Santander,2-0
Osasuna,Espanol,1-1
Ath Madrid,Getafe,2-2
Espanol,Ath Bilbao,2-0
Mallorca,Betis,1-1
Numancia,La Coruna,1-1
Santander,Albacete,1-0
Sevilla,Malaga,0-2
Sociedad,Barcelona,0-0
Valencia,Osasuna,1-0
Villarreal,Levante,4-1
Zaragoza,Real Madrid,1-3
Alaves,Barcelona,0-0
Ath Bilbao,Sociedad,3-0
Valencia,Betis,1-0
Ath Madrid,Zaragoza,0-0
Cadiz,Real Madrid,1-2
Celta,Malaga,2-0
Espanol,Getafe,0-2
Mallorca,La Coruna,0-1
Osasuna,Villarreal,2-1
Sevilla,Santander,1-0
Betis,Osasuna,1-0
La Coruna,Ath Madrid,1-0
Real Madrid,Celta,2-3
Barcelona,Mallorca,2-0
Getafe,Ath Bilbao,1-1
Malaga,Espanol,1-2
Santander,Cadiz,0-1
Sociedad,Alaves,2-1
Villarreal,Sevilla,1-1
Zaragoza,Valencia,2-2
Mallorca,Sociedad,5-2
Valencia,La Coruna,2-2
Alaves,Getafe,3-4
Ath Bilbao,Malaga,1-2
Ath Madrid,Barcelona,2-1
Betis,Zaragoza,0-0
Cadiz,Villarreal,1-1
Celta,Santander,0-1
Espanol,Real Madrid,1-0
Osasuna,Sevilla,1-0
Barcelona,Valencia,2-2
Getafe,Mallorca,1-1
La Coruna,Betis,1-1
Malaga,Alaves,0-0
Santander,Espanol,1-0
Sevilla,Cadiz,0-0
Sociedad,Ath Madrid,3-2
Villarreal,Celta,1-2
Zaragoza,Osasuna,3-1
Real Madrid,Ath Bilbao,3-1
Ath Madrid,Getafe,0-1
Betis,Barcelona,1-4
Espanol,Villarreal,1-2
Valencia,Sociedad,2-1
Zaragoza,La Coruna,1-1
Alaves,Real Madrid,0-3
Ath Bilbao,Santander,0-0
Celta,Sevilla,2-1
Mallorca,Malaga,1-4
Osasuna,Cadiz,2-0
Barcelona,Zaragoza,2-2
Getafe,Valencia,2-1
Cadiz,Celta,1-1
La Coruna,Osasuna,0-1
Malaga,Ath Madrid,0-2
Real Madrid,Mallorca,4-0
Santander,Alaves,1-2
Sevilla,Espanol,1-1
Sociedad,Betis,1-1
Villarreal,Ath Bilbao,3-1
Alaves,Villarreal,1-1
Ath Madrid,Real Madrid,0-3
La Coruna,Barcelona,3-3
Ath Bilbao,Sevilla,0-1
Betis,Getafe,1-0
Espanol,Cadiz,0-2
Mallorca,Santander,0-0
Osasuna,Celta,2-0
Valencia,Malaga,2-1
Zaragoza,Sociedad,0-1
Barcelona,Osasuna,3-0
Sevilla,Alaves,2-0
Cadiz,Ath Bilbao,1-0
Celta,Espanol,1-0
Getafe,Zaragoza,5-2
Malaga,Betis,5-0
Real Madrid,Valencia,1-2
Santander,Ath Madrid,0-1
Sociedad,La Coruna,2-0
Villarreal,Mallorca,3-0
Barcelona,Malaga,2-0
Betis,Villarreal,2-3
La Coruna,Real Madrid,3-1
Mallorca,Celta,1-0
Osasuna,Ath Bilbao,3-2
Alaves,Espanol,1-1
Ath Madrid,Cadiz,3-0
Sociedad,Getafe,3-0
Valencia,Sevilla,0-2
Zaragoza,Santander,1-1
Ath Bilbao,Celta,1-1
Betis,Real Madrid,0-2
Alaves,Cadiz,0-0
Ath Madrid,Villarreal,1-1
Barcelona,Sociedad,5-0
La Coruna,Getafe,1-0
Mallorca,Sevilla,1-1
Osasuna,Espanol,2-0
Valencia,Santander,1-1
Zaragoza,Malaga,1-1
Espanol,Ath Bilbao,1-1
Sociedad,Osasuna,1-2
Villarreal,Valencia,1-0
Cadiz,Mallorca,1-2
Celta,Alaves,2-1
Getafe,Barcelona,1-3
Malaga,La Coruna,1-1
Real Madrid,Zaragoza,1-0
Santander,Betis,1-1
Sevilla,Ath Madrid,0-0
Getafe,Osasuna,0-0
Real Madrid,Barcelona,0-3
Sevilla,Betis,1-0
Villarreal,Zaragoza,0-0
Ath Bilbao,Alaves,0-2
Cadiz,Valencia,0-1
Celta,Ath Madrid,2-1
Espanol,Mallorca,2-0
Malaga,Sociedad,3-1
Santander,La Coruna,0-3
Mallorca,Ath Bilbao,0-1
Valencia,Celta,2-0
Ath Madrid,Espanol,1-1
Barcelona,Santander,4-1
Betis,Cadiz,1-1
Getafe,Malaga,3-2
La Coruna,Villarreal,0-2
Osasuna,Alaves,3-2
Sociedad,Real Madrid,2-2
Zaragoza,Sevilla,0-2
Ath Bilbao,Ath Madrid,1-1
Celta,Betis,2-1
Real Madrid,Getafe,1-0
Alaves,Mallorca,0-3
Cadiz,Zaragoza,1-2
Espanol,Valencia,1-3
Malaga,Osasuna,1-2
Santander,Sociedad,2-2
Sevilla,La Coruna,0-2
Villarreal,Barcelona,0-2
Sociedad,Villarreal,1-3
Valencia,Ath Bilbao,1-1
Ath Madrid,Alaves,1-1
Barcelona,Sevilla,2-1
Betis,Espanol,0-0
Getafe,Santander,1-2
La Coruna,Cadiz,1-0
Malaga,Real Madrid,0-2
Osasuna,Mallorca,1-0
Zaragoza,Celta,1-0
Ath Bilbao,Betis,2-0
Cadiz,Barcelona,1-3
Celta,La Coruna,0-3
Alaves,Valencia,0-1
Espanol,Zaragoza,2-2
Mallorca,Ath Madrid,2-2
Real Madrid,Osasuna,1-1
Santander,Malaga,1-1
Sevilla,Sociedad,3-2
Villarreal,Getafe,2-1
Barcelona,Celta,2-0
Betis,Alaves,3-0
Getafe,Sevilla,1-0
La Coruna,Espanol,1-2
Malaga,Villarreal,0-0
Real Madrid,Santander,1-2
Sociedad,Cadiz,2-0
Valencia,Mallorca,3-0
Zaragoza,Ath Bilbao,3-2
Osasuna,Ath Madrid,2-1
Ath Bilbao,La Coruna,1-2
Espanol,Barcelona,1-2
Alaves,Zaragoza,0-2
Ath Madrid,Valencia,0-0
Cadiz,Getafe,1-0
Celta,Sociedad,1-0
Mallorca,Betis,1-1
Osasuna,Santander,1-1
Sevilla,Malaga,3-1
Villarreal,Real Madrid,0-0
Betis,Ath Madrid,1-0
Valencia,Osasuna,2-0
Barcelona,Ath Bilbao,2-1
Getafe,Celta,1-1
La Coruna,Alaves,0-2
Malaga,Cadiz,0-2
Real Madrid,Sevilla,4-2
Santander,Villarreal,1-0
Sociedad,Espanol,0-1
Zaragoza,Mallorca,3-1
Real Madrid,Cadiz,3-1
Zaragoza,Ath Madrid,0-2
Barcelona,Alaves,2-0
Betis,Valencia,0-2
Getafe,Espanol,5-0
La Coruna,Mallorca,2-2
Malaga,Celta,0-2
Santander,Sevilla,2-3
Sociedad,Ath Bilbao,3-3
Villarreal,Osasuna,2-1
Ath Bilbao,Getafe,1-0
Ath Madrid,La Coruna,3-2
Cadiz,Santander,1-1
Alaves,Sociedad,3-1
Celta,Real Madrid,1-2
Espanol,Malaga,3-1
Mallorca,Barcelona,0-3
Osasuna,Betis,0-2
Sevilla,Villarreal,2-0
Valencia,Zaragoza,2-2
La Coruna,Valencia,0-1
Malaga,Ath Bilbao,2-1
Real Madrid,Espanol,4-0
Barcelona,Ath Madrid,1-3
Getafe,Alaves,2-2
Santander,Celta,0-1
Sevilla,Osasuna,0-1
Sociedad,Mallorca,2-1
Villarreal,Cadiz,1-1
Zaragoza,Betis,4-3
Ath Bilbao,Real Madrid,0-2
Cadiz,Sevilla,0-4
Osasuna,Zaragoza,1-1
Alaves,Malaga,3-2
Ath Madrid,Sociedad,1-0
Betis,La Coruna,0-1
Celta,Villarreal,1-0
Espanol,Santander,0-2
Mallorca,Getafe,1-1
Valencia,Barcelona,1-0
Barcelona,Betis,5-1
Real Madrid,Alaves,3-0
Sevilla,Celta,1-0
Villarreal,Espanol,4-0
Cadiz,Osasuna,1-3
Getafe,Ath Madrid,0-3
La Coruna,Zaragoza,1-1
Malaga,Mallorca,0-2
Santander,Ath Bilbao,0-1
Sociedad,Valencia,1-2
Ath Madrid,Malaga,5-0
Zaragoza,Barcelona,0-2
Alaves,Santander,2-2
Ath Bilbao,Villarreal,1-1
Betis,Sociedad,2-0
Celta,Cadiz,2-0
Espanol,Sevilla,5-0
Mallorca,Real Madrid,2-1
Osasuna,La Coruna,1-2
Valencia,Getafe,1-1
Barcelona,La Coruna,3-2
Cadiz,Espanol,2-0
Real Madrid,Ath Madrid,2-1
Villarreal,Alaves,3-2
Celta,Osasuna,2-0
Getafe,Betis,1-0
Malaga,Valencia,0-0
Santander,Mallorca,0-0
Sevilla,Ath Bilbao,2-1
Sociedad,Zaragoza,1-3
Espanol,Celta,2-0
La Coruna,Sociedad,0-1
Valencia,Real Madrid,0-0
Alaves,Sevilla,2-1
